Student_ID,Name,Class,Subject,Exam_Score_1,Exam_Score_2,Exam_Score_3,Attendance_Percentage,Study_Hours_Per_Week,Assignment_Completion_Rate,Participation_Level,Final_Score
STU_009,Ishita Reddy,Grade 11,History,78.4,80.92,78.49,81.33,16.08,99.35,Medium,74.69
STU_009,Ishita Reddy,Grade 11,Art,85.65,89.91,91.28,98.25,14.33,64.33,Medium,87.32
STU_010,Ishita Gupta,Grade 9,Math,100.0,100.0,100.0,81.03,28.04,67.36,High,95.47
STU_010,Ishita Gupta,Grade 9,Science,90.24,90.9,95.63,99.54,27.2,75.04,Medium,90.03
STU_010,Ishita Gupta,Grade 9,English,94.39,93.93,94.04,60.12,25.98,63.41,High,88.71
STU_010,Ishita Gupta,Grade 9,History,76.15,81.06,88.06,62.65,21.65,88.84,High,78.06
STU_010,Ishita Gupta,Grade 9,Art,59.85,60.65,61.13,90.65,3.6,59.9,Medium,58.3
STU_011,Sanya Reddy,Grade 9,Math,68.67,70.61,69.58,85.21,6.76,81.56,Medium,63.09
STU_011,Sanya Reddy,Grade 9,Science,65.1,69.8,73.44,76.1,11.21,52.56,High,66.39
STU_011,Sanya Reddy,Grade 9,English,62.49,63.11,67.09,77.16,8.73,50.39,Medium,61.52
STU_011,Sanya Reddy,Grade 9,History,95.41,95.91,98.29,83.13,28.96,96.4,High,93.68
STU_011,Sanya Reddy,Grade 9,Art,98.39,98.32,100.0,65.91,29.45,79.99,High,89.16
STU_012,Ananya Singh,Grade 9,Math,56.66,55.99,56.09,93.71,3.28,55.47,High,58.15
STU_012,Ananya Singh,Grade 9,Science,60.63,64.44,69.36,94.44,3.88,52.63,Low,61.77
STU_012,Ananya Singh,Grade 9,English,60.34,60.71,62.13,90.89,4.48,94.31,High,56.38
STU_012,Ananya Singh,Grade 9,History,75.25,84.33,79.59,70.05,15.75,94.96,Medium,74.97
STU_012,Ananya Singh,Grade 9,Art,63.81,65.44,60.75,62.37,8.42,99.49,Low,55.22
STU_013,Priya Mehta,Grade 10,Math,85.1,83.87,76.69,82.42,19.37,62.42,Low,82.14
STU_013,Priya Mehta,Grade 10,Science,96.26,95.39,96.35,77.41,27.95,92.49,High,90.79
STU_013,Priya Mehta,Grade 10,English,92.69,94.13,96.89,88.46,23.9,62.79,High,89.45
STU_013,Priya Mehta,Grade 10,History,67.19,73.81,78.27,89.19,7.86,92.45,Medium,66.0
STU_013,Priya Mehta,Grade 10,Art,74.01,75.79,81.0,65.87,13.38,93.44,High,71.48
STU_014,Arjun Kapoor,Grade 11,Math,71.1,71.97,72.7,92.76,11.0,61.58,Low,71.38
STU_014,Arjun Kapoor,Grade 11,Science,86.76,87.5,87.7,95.24,18.91,73.11,Low,85.53
STU_014,Arjun Kapoor,Grade 11,English,92.59,96.36,92.5,64.23,25.02,81.79,Medium,88.69
STU_014,Arjun Kapoor,Grade 11,History,68.83,71.16,76.83,74.03,7.69,54.7,High,60.68
STU_014,Arjun Kapoor,Grade 11,Art,94.99,99.53,100.0,91.19,23.61,56.32,Medium,90.61
STU_015,Rohan Verma,Grade 12,Math,72.99,75.01,73.35,84.28,11.26,64.0,High,70.2
STU_015,Rohan Verma,Grade 12,Science,66.89,65.28,60.28,87.92,14.19,89.47,Low,68.71
STU_015,Rohan Verma,Grade 12,English,59.6,60.41,64.26,74.82,4.57,87.75,Medium,56.27
STU_015,Rohan Verma,Grade 12,History,76.79,81.28,84.51,97.48,13.04,55.19,High,80.59
STU_015,Rohan Verma,Grade 12,Art,68.71,71.59,68.9,81.53,3.24,61.95,Low,64.09
STU_016,Rohan Malhotra,Grade 10,Math,64.63,66.02,59.38,76.67,2.84,98.6,Medium,53.38
STU_016,Rohan Malhotra,Grade 10,Science,66.63,69.23,68.18,87.2,2.98,58.61,High,59.67
STU_016,Rohan Malhotra,Grade 10,English,57.11,60.37,55.42,64.95,6.32,68.41,Low,56.75
STU_016,Rohan Malhotra,Grade 10,History,68.66,66.91,69.55,82.83,11.7,86.3,High,62.69
STU_016,Rohan Malhotra,Grade 10,Art,96.69,100.0,96.7,98.02,25.79,86.94,High,98.44
STU_017,Sanya Joshi,Grade 10,Math,63.3,61.82,70.54,82.78,2.73,85.66,Low,63.47
STU_017,Sanya Joshi,Grade 10,Science,70.05,76.26,81.3,88.79,6.0,54.48,Low,73.89
STU_017,Sanya Joshi,Grade 10,English,78.26,74.95,70.41,80.62,14.27,53.46,Medium,70.84
STU_017,Sanya Joshi,Grade 10,History,91.83,99.5,100.0,97.92,18.69,82.13,Medium,93.92
STU_017,Sanya Joshi,Grade 10,Art,100.0,100.0,100.0,76.39,29.34,90.61,High,92.99
STU_018,Sanya Mehta,Grade 10,Math,73.33,71.08,65.5,76.24,19.33,85.56,Medium,64.74
STU_018,Sanya Mehta,Grade 10,Science,61.96,62.12,65.48,75.81,3.32,57.67,Medium,53.8
STU_018,Sanya Mehta,Grade 10,English,97.61,100.0,100.0,89.57,26.68,62.36,Low,95.99
STU_018,Sanya Mehta,Grade 10,History,63.06,66.38,61.75,62.3,3.8,73.4,Low,53.97
STU_018,Sanya Mehta,Grade 10,Art,67.93,73.11,81.13,75.59,10.93,65.93,High,71.13
STU_019,Tanisha Malhotra,Grade 12,Math,82.49,85.34,90.46,63.08,18.27,81.83,High,76.82
STU_019,Tanisha Malhotra,Grade 12,Science,64.94,65.98,63.5,73.05,12.03,88.64,Low,59.79
STU_019,Tanisha Malhotra,Grade 12,English,100.0,100.0,100.0,94.05,27.38,55.71,Low,100.0
STU_019,Tanisha Malhotra,Grade 12,History,75.87,75.44,77.89,88.4,12.9,71.36,Medium,71.64
STU_019,Tanisha Malhotra,Grade 12,Art,74.72,75.61,77.99,69.09,14.33,52.98,Medium,69.75
STU_020,Tanisha Mehta,Grade 10,Math,69.41,67.58,69.44,87.78,7.5,82.81,Low,63.94
STU_020,Tanisha Mehta,Grade 10,Science,68.21,71.91,76.17,84.74,7.22,86.38,Medium,68.93
STU_020,Tanisha Mehta,Grade 10,English,73.62,75.56,75.42,65.52,14.96,87.01,Medium,67.66
STU_020,Tanisha Mehta,Grade 10,History,82.73,84.32,90.73,62.36,22.9,70.33,High,80.72
STU_020,Tanisha Mehta,Grade 10,Art,61.66,64.22,68.09,73.14,6.56,57.34,High,60.54
STU_021,Siddharth Sharma,Grade 9,Math,58.33,61.41,61.35,61.23,3.94,78.84,Medium,50.42
STU_021,Siddharth Sharma,Grade 9,Science,91.98,93.78,96.77,75.01,27.64,92.0,Medium,91.07
STU_021,Siddharth Sharma,Grade 9,English,68.68,70.01,74.13,64.32,11.38,96.12,Low,64.48
STU_021,Siddharth Sharma,Grade 9,History,95.52,99.04,100.0,66.07,22.95,63.44,High,90.78
STU_021,Siddharth Sharma,Grade 9,Art,89.95,93.62,95.1,94.62,25.04,74.71,High,88.9
STU_022,Sanya Sharma,Grade 10,Math,65.37,66.91,69.09,95.06,4.83,63.54,Medium,66.37
STU_022,Sanya Sharma,Grade 10,Science,81.25,80.54,80.65,72.03,19.6,55.96,High,77.59
STU_022,Sanya Sharma,Grade 10,English,72.66,82.65,89.95,66.31,14.94,52.88,Medium,70.1
STU_022,Sanya Sharma,Grade 10,History,84.05,84.65,84.99,92.27,14.29,55.07,High,78.79
STU_022,Sanya Sharma,Grade 10,Art,85.47,88.43,88.8,73.48,23.28,94.68,Medium,79.97
STU_023,Ananya Reddy,Grade 10,Math,80.06,83.06,85.38,89.11,22.75,75.21,Low,87.56
STU_023,Ananya Reddy,Grade 10,Science,85.64,91.46,88.14,65.5,20.85,81.91,High,80.15
STU_023,Ananya Reddy,Grade 10,English,82.04,78.35,82.7,92.19,14.52,78.15,Medium,76.71
STU_023,Ananya Reddy,Grade 10,History,81.15,78.2,77.77,85.25,18.72,62.19,High,72.21
STU_023,Ananya Reddy,Grade 10,Art,84.95,94.65,97.96,95.07,17.28,84.93,Medium,89.28
STU_024,Vikram Verma,Grade 9,Math,98.06,100.0,96.24,89.09,25.67,59.85,High,93.18
STU_024,Vikram Verma,Grade 9,Science,75.89,73.64,78.08,76.28,12.09,65.64,Medium,71.71
STU_024,Vikram Verma,Grade 9,English,88.22,90.43,92.19,88.96,20.93,68.85,High,80.88
STU_024,Vikram Verma,Grade 9,History,80.0,87.02,98.43,87.4,14.4,89.6,High,79.79
STU_024,Vikram Verma,Grade 9,Art,79.21,75.95,70.99,65.05,18.67,70.12,Medium,73.23
STU_025,Ishita Gupta,Grade 10,Math,63.4,65.31,68.01,61.96,13.23,67.79,Medium,57.91
STU_025,Ishita Gupta,Grade 10,Science,87.89,88.22,96.71,87.84,20.39,92.93,Medium,86.58
STU_025,Ishita Gupta,Grade 10,English,81.5,85.68,86.6,62.25,19.06,70.5,High,78.4
STU_025,Ishita Gupta,Grade 10,History,96.17,97.59,99.4,92.36,26.0,97.16,High,93.52
STU_025,Ishita Gupta,Grade 10,Art,74.53,75.16,68.14,69.67,14.97,75.29,Low,69.1
STU_026,Priya Kapoor,Grade 9,Math,99.64,100.0,100.0,99.11,29.6,76.03,High,94.67
STU_026,Priya Kapoor,Grade 9,Science,65.93,66.45,67.36,71.23,9.17,69.74,Medium,60.86
STU_026,Priya Kapoor,Grade 9,English,65.0,65.58,68.36,83.94,2.85,62.12,Medium,59.01
STU_026,Priya Kapoor,Grade 9,History,59.82,62.15,63.9,72.21,3.74,54.75,Medium,57.89
STU_026,Priya Kapoor,Grade 9,Art,60.39,61.56,61.3,79.18,6.66,67.04,High,54.93
STU_027,Rohan Singh,Grade 11,Math,79.52,82.89,84.69,72.81,16.28,56.09,High,78.58
STU_027,Rohan Singh,Grade 11,Science,67.72,64.96,60.83,60.45,5.68,99.03,High,60.51
STU_027,Rohan Singh,Grade 11,English,75.04,73.9,66.67,90.19,10.45,54.57,High,70.35
STU_027,Rohan Singh,Grade 11,History,78.67,79.04,86.02,88.77,10.49,65.9,Medium,77.58
STU_027,Rohan Singh,Grade 11,Art,63.84,67.08,71.42,88.84,5.61,83.07,Low,63.19
STU_028,Arjun Malhotra,Grade 9,Math,74.33,73.87,75.22,93.62,12.48,71.22,High,74.6
STU_028,Arjun Malhotra,Grade 9,Science,100.0,100.0,100.0,84.64,29.8,90.29,Low,95.23
STU_028,Arjun Malhotra,Grade 9,English,68.5,71.99,70.33,64.38,10.47,82.71,Low,62.76
STU_028,Arjun Malhotra,Grade 9,History,81.74,82.99,83.15,75.18,16.35,82.0,Low,76.2
STU_028,Arjun Malhotra,Grade 9,Art,70.23,69.29,71.32,69.64,4.99,95.07,High,59.02
STU_029,Rahul Kapoor,Grade 11,Math,69.32,70.26,66.96,71.47,6.16,88.28,Medium,59.64
STU_029,Rahul Kapoor,Grade 11,Science,84.64,91.17,86.35,81.85,18.65,79.58,Low,79.95
STU_029,Rahul Kapoor,Grade 11,English,77.36,74.59,77.88,74.42,8.71,99.2,High,66.1
STU_029,Rahul Kapoor,Grade 11,History,79.69,88.92,91.57,68.28,11.51,90.17,Medium,79.53
STU_029,Rahul Kapoor,Grade 11,Art,90.45,94.49,92.73,73.62,23.14,96.98,Low,81.65
STU_030,Tanisha Gupta,Grade 12,Math,55.79,57.91,59.25,71.7,3.56,76.9,Medium,55.24
STU_030,Tanisha Gupta,Grade 12,Science,95.42,100.0,98.78,95.77,28.82,92.89,Low,100.0
STU_030,Tanisha Gupta,Grade 12,English,60.0,62.5,68.4,66.89,6.97,54.09,Low,58.08
STU_030,Tanisha Gupta,Grade 12,History,95.98,99.5,97.85,66.54,26.32,70.56,Low,92.36
STU_030,Tanisha Gupta,Grade 12,Art,97.65,98.66,96.55,94.29,26.85,88.41,High,94.13
STU_031,Rahul Reddy,Grade 9,Math,100.0,100.0,100.0,83.48,28.15,78.7,Low,94.7
STU_031,Rahul Reddy,Grade 9,Science,77.1,83.16,85.82,99.31,14.45,74.83,High,74.8
STU_031,Rahul Reddy,Grade 9,English,100.0,99.82,100.0,75.86,26.94,59.3,Medium,86.23
STU_031,Rahul Reddy,Grade 9,History,92.42,94.44,99.4,74.65,22.12,86.08,Low,89.12
STU_031,Rahul Reddy,Grade 9,Art,95.13,97.53,100.0,61.24,26.89,82.35,Medium,86.49
STU_032,Arjun Gupta,Grade 10,Math,95.94,93.68,98.53,62.8,28.02,50.4,High,90.27
STU_032,Arjun Gupta,Grade 10,Science,75.37,74.68,71.33,99.11,7.73,52.14,High,63.94
STU_032,Arjun Gupta,Grade 10,English,81.73,80.97,88.81,97.11,15.56,50.75,Low,80.01
STU_032,Arjun Gupta,Grade 10,History,86.13,88.91,86.25,73.44,20.74,87.68,High,81.29
STU_032,Arjun Gupta,Grade 10,Art,81.68,83.5,88.32,94.45,16.01,70.16,Low,83.12
STU_033,Ananya Malhotra,Grade 9,Math,61.99,66.21,63.23,65.88,4.32,66.18,Medium,57.72
STU_033,Ananya Malhotra,Grade 9,Science,77.37,83.15,90.19,66.22,17.33,50.05,Medium,83.79
STU_033,Ananya Malhotra,Grade 9,English,98.43,100.0,100.0,80.59,29.81,73.0,Medium,96.7
STU_033,Ananya Malhotra,Grade 9,History,77.04,80.95,77.97,64.32,18.41,89.09,Low,68.97
STU_033,Ananya Malhotra,Grade 9,Art,100.0,100.0,100.0,74.84,27.55,88.6,Low,96.91
STU_034,Vikram Gupta,Grade 12,Math,69.49,71.08,70.83,72.01,8.52,87.34,High,63.25
STU_034,Vikram Gupta,Grade 12,Science,89.01,93.38,96.75,82.15,19.92,91.08,High,87.88
STU_034,Vikram Gupta,Grade 12,English,67.27,68.14,70.12,70.84,6.21,98.17,Medium,65.11
STU_034,Vikram Gupta,Grade 12,History,78.12,82.29,87.6,70.97,18.08,81.16,Low,75.27
STU_034,Vikram Gupta,Grade 12,Art,80.99,79.97,82.78,77.09,23.88,93.66,Medium,76.74
STU_035,Vikram Gupta,Grade 11,Math,98.63,100.0,100.0,95.73,21.85,76.7,High,98.61
STU_035,Vikram Gupta,Grade 11,Science,82.83,87.53,88.83,86.37,14.96,96.62,High,79.76
STU_035,Vikram Gupta,Grade 11,English,54.52,60.1,59.74,66.31,5.52,93.49,Low,56.88
STU_035,Vikram Gupta,Grade 11,History,59.95,62.18,57.26,60.81,9.3,98.48,Medium,51.04
STU_035,Vikram Gupta,Grade 11,Art,84.0,79.59,73.21,83.1,18.2,87.1,High,70.33
STU_036,Arjun Patel,Grade 12,Math,73.34,76.07,69.59,93.24,14.18,70.97,Medium,70.89
STU_036,Arjun Patel,Grade 12,Science,69.89,70.13,73.58,60.13,15.76,70.14,Medium,69.17
STU_036,Arjun Patel,Grade 12,English,78.11,80.32,79.73,82.74,10.79,61.86,Low,71.23
STU_036,Arjun Patel,Grade 12,History,92.43,100.0,100.0,63.88,28.38,93.85,Low,88.24
STU_036,Arjun Patel,Grade 12,Art,70.47,74.67,71.36,81.38,5.84,63.17,Low,70.72
STU_037,Vikram Patel,Grade 9,Math,92.56,98.5,99.32,95.1,19.33,75.41,Low,90.77
STU_037,Vikram Patel,Grade 9,Science,63.39,68.91,72.83,62.93,7.51,72.8,Medium,61.92
STU_037,Vikram Patel,Grade 9,English,72.59,76.2,76.8,91.85,12.15,73.91,Low,78.35
STU_037,Vikram Patel,Grade 9,History,84.51,85.27,85.77,80.12,13.26,79.08,Low,73.82
STU_037,Vikram Patel,Grade 9,Art,97.08,94.4,96.37,91.11,24.02,72.03,Low,93.7
STU_038,Vikram Singh,Grade 12,Math,70.14,66.9,65.6,63.39,13.02,98.45,Medium,62.25
STU_038,Vikram Singh,Grade 12,Science,80.08,79.64,84.33,85.44,15.85,92.64,High,77.83
STU_038,Vikram Singh,Grade 12,English,88.1,90.18,89.1,81.13,16.79,82.04,High,79.83
STU_038,Vikram Singh,Grade 12,History,100.0,99.32,100.0,92.16,26.95,95.35,Medium,95.95
STU_038,Vikram Singh,Grade 12,Art,75.54,72.51,74.75,70.0,12.03,53.34,Medium,65.55
STU_039,Rohan Malhotra,Grade 12,Math,100.0,100.0,100.0,61.77,25.27,60.93,Medium,89.04
STU_039,Rohan Malhotra,Grade 12,Science,96.32,99.9,90.89,90.28,29.21,87.61,High,90.23
STU_039,Rohan Malhotra,Grade 12,English,100.0,100.0,100.0,76.93,28.4,57.63,Low,95.99
STU_039,Rohan Malhotra,Grade 12,History,100.0,100.0,100.0,82.69,29.41,75.35,Medium,96.71
STU_039,Rohan Malhotra,Grade 12,Art,90.07,92.69,100.0,96.3,23.7,55.42,Low,93.0
STU_040,Arjun Mehta,Grade 9,Math,75.09,76.01,80.63,68.33,12.29,87.67,High,69.41
STU_040,Arjun Mehta,Grade 9,Science,92.21,92.68,93.85,74.78,20.46,64.24,Low,84.28
STU_040,Arjun Mehta,Grade 9,English,91.52,98.42,100.0,63.14,25.33,68.84,Low,86.64
STU_040,Arjun Mehta,Grade 9,History,70.01,71.79,69.33,74.66,11.68,58.68,Medium,65.55
STU_040,Arjun Mehta,Grade 9,Art,100.0,100.0,100.0,61.87,29.41,70.03,Low,93.23
STU_041,Ishita Singh,Grade 10,Math,90.35,95.52,93.67,66.3,26.29,98.13,High,88.6
STU_041,Ishita Singh,Grade 10,Science,79.07,84.14,91.14,92.15,17.25,69.8,Medium,83.07
STU_041,Ishita Singh,Grade 10,English,89.11,93.93,91.81,60.55,27.68,67.53,High,81.78
STU_041,Ishita Singh,Grade 10,History,95.26,100.0,100.0,67.92,23.69,62.94,Medium,92.86
STU_041,Ishita Singh,Grade 10,Art,70.64,72.36,69.92,63.28,13.13,65.99,Medium,64.61
STU_042,Priya Mehta,Grade 11,Math,99.42,98.98,100.0,91.71,25.01,61.85,Medium,95.19
STU_042,Priya Mehta,Grade 11,Science,98.4,100.0,100.0,80.1,29.83,79.7,High,97.0
STU_042,Priya Mehta,Grade 11,English,74.25,73.06,76.9,92.45,11.93,83.91,High,73.62
STU_042,Priya Mehta,Grade 11,History,87.66,90.18,92.92,94.34,13.37,83.6,High,81.91
STU_042,Priya Mehta,Grade 11,Art,81.92,85.98,88.09,97.28,17.89,60.76,High,84.56
STU_043,Vikram Patel,Grade 11,Math,65.51,67.96,68.51,69.54,4.78,54.79,Low,61.6
STU_043,Vikram Patel,Grade 11,Science,97.43,100.0,100.0,64.72,24.21,58.02,Low,90.96
STU_043,Vikram Patel,Grade 11,English,88.79,95.21,100.0,72.08,22.27,87.86,Medium,88.15
STU_043,Vikram Patel,Grade 11,History,94.28,96.08,89.19,75.54,22.38,51.95,Medium,87.93
STU_043,Vikram Patel,Grade 11,Art,64.84,66.44,70.16,93.07,9.97,83.1,High,63.4
STU_044,Priya Singh,Grade 11,Math,58.76,59.26,60.2,78.73,2.62,74.85,Low,56.37
STU_044,Priya Singh,Grade 11,Science,68.7,71.4,70.05,96.25,12.66,54.78,Medium,70.44
STU_044,Priya Singh,Grade 11,English,59.73,55.73,55.53,87.25,4.21,80.81,High,54.41
STU_044,Priya Singh,Grade 11,History,74.84,78.74,79.76,89.5,17.12,65.65,High,73.59
STU_044,Priya Singh,Grade 11,Art,100.0,100.0,100.0,89.69,29.74,50.35,Medium,94.61
STU_045,Ananya Joshi,Grade 11,Math,89.08,89.69,95.47,64.14,20.81,53.35,High,86.6
STU_045,Ananya Joshi,Grade 11,Science,82.34,85.86,88.4,97.55,12.82,53.38,High,81.51
STU_045,Ananya Joshi,Grade 11,English,69.27,73.49,86.22,67.66,11.59,59.31,Medium,68.55
STU_045,Ananya Joshi,Grade 11,History,69.28,68.06,63.97,81.03,3.02,75.66,Medium,60.88
STU_045,Ananya Joshi,Grade 11,Art,94.21,94.05,96.97,92.47,23.43,62.47,Low,90.07
STU_046,Arjun Mehta,Grade 11,Math,71.66,70.68,70.9,64.12,8.37,97.2,Low,68.19
STU_046,Arjun Mehta,Grade 11,Science,61.16,62.58,57.3,63.6,8.77,89.35,Medium,54.56
STU_046,Arjun Mehta,Grade 11,English,92.73,96.77,95.49,90.19,24.11,85.46,Low,92.42
STU_046,Arjun Mehta,Grade 11,History,79.94,90.03,94.16,65.48,11.68,65.77,Low,77.32
STU_046,Arjun Mehta,Grade 11,Art,87.55,88.5,99.01,89.56,19.62,76.16,Medium,86.95
STU_047,Rohan Patel,Grade 10,Math,77.99,81.51,75.96,98.96,10.07,76.78,High,72.67
STU_047,Rohan Patel,Grade 10,Science,66.52,66.96,65.57,94.02,7.67,98.69,Low,61.58
STU_047,Rohan Patel,Grade 10,English,88.3,89.7,92.77,87.07,21.43,78.17,Medium,82.85
STU_047,Rohan Patel,Grade 10,History,74.48,76.59,79.46,70.93,13.56,89.41,Low,68.72
STU_047,Rohan Patel,Grade 10,Art,89.09,86.08,83.78,70.23,15.18,91.27,Medium,77.03
STU_048,Siddharth Malhotra,Grade 11,Math,78.29,79.09,79.75,77.67,11.89,86.11,Low,76.79
STU_048,Siddharth Malhotra,Grade 11,Science,87.01,87.93,91.2,87.52,22.67,97.05,Low,84.1
STU_048,Siddharth Malhotra,Grade 11,English,73.54,77.93,82.85,70.39,14.03,59.12,High,68.18
STU_048,Siddharth Malhotra,Grade 11,History,64.82,65.28,68.07,93.43,3.55,65.48,Low,64.31
STU_048,Siddharth Malhotra,Grade 11,Art,64.13,69.01,64.3,63.39,10.12,58.54,Low,57.26
STU_049,Rohan Reddy,Grade 12,Math,96.54,98.84,100.0,83.93,24.49,57.54,High,95.48
STU_049,Rohan Reddy,Grade 12,Science,60.47,60.8,67.82,74.0,9.7,69.38,Low,60.01
STU_049,Rohan Reddy,Grade 12,English,89.24,88.32,90.84,68.24,24.9,72.42,Low,81.83
STU_049,Rohan Reddy,Grade 12,History,97.36,99.73,100.0,85.79,28.39,91.54,Low,97.39
STU_049,Rohan Reddy,Grade 12,Art,56.83,56.36,59.85,88.49,3.39,90.31,High,55.54
STU_050,Arjun Patel,Grade 9,Math,81.77,87.91,82.26,60.49,23.85,97.19,High,79.34
STU_050,Arjun Patel,Grade 9,Science,84.09,87.73,89.18,73.08,23.69,69.5,Medium,81.73
STU_050,Arjun Patel,Grade 9,English,83.44,85.38,87.13,76.78,20.36,69.34,Low,80.83
STU_050,Arjun Patel,Grade 9,History,55.54,57.7,63.55,74.8,3.51,90.72,Medium,56.07
STU_050,Arjun Patel,Grade 9,Art,94.56,96.0,95.69,93.54,25.78,74.22,Medium,90.09
STU_051,Rohan Reddy,Grade 10,Math,80.31,88.51,92.28,68.32,21.09,64.65,Medium,84.79
STU_051,Rohan Reddy,Grade 10,Science,89.96,91.08,94.07,86.34,23.3,51.02,Medium,83.63
STU_051,Rohan Reddy,Grade 10,English,65.79,70.41,70.79,72.58,9.05,96.05,Medium,62.78
STU_051,Rohan Reddy,Grade 10,History,84.16,86.41,91.68,74.65,20.68,71.77,High,83.77
STU_051,Rohan Reddy,Grade 10,Art,89.79,90.5,95.99,64.32,23.51,98.11,Low,86.39
STU_052,Rahul Verma,Grade 12,Math,95.68,98.79,100.0,95.75,29.77,96.37,Low,95.9
STU_052,Rahul Verma,Grade 12,Science,63.78,63.57,67.33,88.0,5.65,91.76,Low,58.75
STU_052,Rahul Verma,Grade 12,English,92.38,95.28,95.77,83.95,20.91,54.37,Low,85.38
